run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
10,2,0.6571391313693731,2,1.172584959279486,1.3602301291187862,15,0.25253095130066566,2.1577243453278787,0.1488953545103946,1.9792605446285025,0.23716136097404836,0.006728498922393444,0.025680228561682,0.09341091039180632,300,200,800,0.2858990944372574,0.11104282109316059,0.2858990944372574,0.7141009055627425,773,False,300,455345,3323,0.007244891729965901,0.28924919135111793,0,0.8141535940060876,0.18584640599391244,0.3159073274607459,0.26259105524148996,0.053316272219255945,20,0.5,0.2947027004608976,0.01683539675337771,0.028370974490780215,0.027019030294201718,Low_Coop,Survived,Frequent,Fast,Moderate
11,10,0.059725898760149936,3,1.1013163891440376,1.2059617904880044,10,0.18952419715781338,1.5503202911116496,0.06037765404461108,1.6289428605308345,0.12047906364560562,0.051392443044526864,0.041106691606617826,0.02737439472464666,300,200,800,0.3220125786163522,0.053926385610373516,0.3220125786163522,0.6779874213836478,795,False,300,616669,5983,0.009608898710676269,0.44621937681021423,0,0.4403405146171347,0.5596594853828654,0.38676517778882513,0.5056735758316033,-0.1189083980427782,30,0.1,0.09835174849156988,0.01895241971578134,0.4265674175199432,0.012214985354588648,Medium_Coop,Survived,Rare,Slow,Complex
12,2,0.12683184271446396,2,1.13583280165726,1.4986575423367694,20,0.07187444162942559,2.2396794725675613,0.07819723179899463,1.6852541973417008,0.3499796065320722,0.13500802296852915,0.03823435058571119,0.04616727872606363,300,200,800,0.2607594936708861,0.05861230833673211,0.2607594936708861,0.739240506329114,790,False,300,596996,4047,0.006733295288357073,0.32649641470704804,0,0.5966528511116745,0.4033471488883255,0.2975274590806344,0.35546537033346176,-0.05793791125282738,15,0.5,0.1317822131097576,0.0035937220814712795,0.3857596855608699,0.015073450980840748,Low_Coop,Survived,Frequent,Moderate,Moderate
13,10,0.0,1,1.1767759472662511,1.3006202479279094,0,0.09600326360799431,1.5647213820369217,0.17897476836794696,1.833136041662798,0.1748677595153731,0.06491175308011037,0.027835091105100733,0.0045812645925581985,300,200,800,0.9383647798742139,0.6204225308850542,0.9383647798742139,0.061635220125786164,795,False,300,148094,590,0.003968147211535875,0.8113989561225792,0,1.0,0.0,0.8113989561225792,0.8113989561225792,0.0,0,0.1,0.32808509844353445,0.09600326360799431,0.37120480790745075,0.003717233308123055,High_Coop,Survived,Rare,Fast,Simple
14,20,0.6099584620290092,2,0.8060259847453184,1.4207208618812317,15,0.09492782913540841,1.7192193465997898,0.053096773880520816,1.4980640376319587,0.2560330626444118,0.054458214953243135,0.04613870250863165,0.02686050885078739,300,200,800,0.9721871049304678,0.6673635162823593,0.9721871049304678,0.02781289506953224,791,False,300,151856,953,0.006236543659077672,0.6256964410422708,0,0.7917381717578291,0.20826182824217085,0.636632383889406,0.6147604981951357,0.021871885694270343,20,0.05,0.07954236746468414,0.00632852194236056,0.2126999317618472,0.016806524792522086,High_Coop,Survived,Rare,Slow,Moderate
15,2,0.22208492641384225,3,0.9140050219904021,1.1565209684761413,10,0.05004663891189674,2.051731103241768,0.10757034606138073,1.4522970979056709,0.3616143524723989,0.05875498445931475,0.0486588923712942,0.010278395780393268,300,200,800,0.36721728081321475,0.06566215166496046,0.36721728081321475,0.6327827191867853,787,False,300,614647,4560,0.007364257833002534,0.36175062531572433,0,0.5246053017403248,0.4753946982596752,0.3474618254382279,0.3760394251932208,-0.02857759975499291,30,0.5,0.15622410140565193,0.0050046638911896745,0.1624796805148915,0.0037182161007997673,Medium_Coop,Survived,Frequent,Moderate,Complex
16,20,0.0,1,1.0491385119754857,1.4090825107226268,0,0.11684789566612845,1.568428569923709,0.06585570958666652,1.9699710940169428,0.37148857551764447,0.03344473615155489,0.028235740737801003,0.06395916744317247,300,200,800,0.9974651457541192,0.7421460689713292,0.9974651457541192,0.0025348542458808617,789,False,300,95459,691,0.0071866874674987,0.6688869341176048,0,1.0,0.0,0.6688869341176048,0.6688869341176048,0.0,0,0.05,0.1297338442617075,0.11684789566612845,0.09002897627457826,0.042781451419778155,High_Coop,Survived,Rare,Moderate,Simple
17,5,0.6609084317644004,2,0.9597203778862499,1.3954576484512315,10,0.28416310160509406,1.9470568572600095,0.16078045102866056,1.7413404775929346,0.38215518193809284,0.08603307959710298,0.035335750005711083,0.007002080174018499,300,200,800,0.9785894206549118,0.5189736509032332,0.9785894206549118,0.021410579345088162,794,False,300,220522,1700,0.00765000765000765,0.7549329531524303,0,0.813301116097112,0.18669888390288805,0.8289099088809695,0.6809559974238911,0.14795391145707837,30,0.2,0.2799735073818552,0.028416310160509405,0.22512603168374645,0.005286101063981868,High_Coop,Survived,Occasional,Fast,Moderate
18,5,0.0,1,1.1706404349971127,1.2541187597481276,0,0.09448366689692987,2.0190981016949934,0.1757261264703293,1.6454243358380383,0.19533843689543284,0.023136626931671865,0.03134026430932193,0.07349445126773194,300,200,800,0.6721105527638191,0.5729361506993134,0.6721105527638191,0.3278894472361809,796,False,300,174665,1227,0.006975871557546676,0.7611296770001987,0,1.0,0.0,0.7611296770001987,0.7611296770001987,0.0,0,0.2,0.2891440449368327,0.09448366689692987,0.11844380092002679,0.055938807954715654,Medium_Coop,Survived,Occasional,Fast,Simple
19,10,0.6756421371564058,2,0.928366294056156,1.445598871513494,15,0.05522498530633292,1.6873517398697149,0.18078256912417967,1.9204638207919833,0.2656060391496293,0.1323173610765794,0.04552268777823224,0.04873171894380225,300,200,800,0.9684343434343434,0.44267547891505793,0.9684343434343434,0.03156565656565657,792,False,300,293916,967,0.003279266692213522,0.6489678867873984,0,0.8209153538107162,0.1790846461892837,0.8367421047824024,0.4611936687923943,0.3755484359900081,20,0.1,0.34718638343281294,0.0036816656870888613,0.49817150807342275,0.03162532066247677,High_Coop,Survived,Rare,Fast,Moderate
