run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
41,5,0.31949815557989325,3,0.8075622794177899,1.3849114823223747,20,0.2938438675160745,2.4159715409758804,0.08139654901186386,1.7780273169667304,0.13123116905467894,0.0928713600099975,0.03504317598570346,0.09194424204855356,300,200,800,0.0,0.0,0,True,300,1069274,108,0.5,0,0.5488308013106941,0.45116919868930594,0.5,0.5,0.0,14,0.2,0.14472528764991527,0.014692193375803724,0.707692849793189,0.04597212102427678,,Extinct,Occasional,Moderate,Complex
42,20,0.4270484535183098,3,0.9860025413167,1.4634121167275562,25,0.29993969133456333,2.283888674870415,0.1379605429303773,1.2756751862926705,0.24812055884751016,0.0537653670095995,0.029911355877313778,0.061464425932451765,300,200,800,0.0,0.0,0,True,299,885075,90,0.5,0,0.6233215102214948,0.3766784897785052,0.5,0.5,0.0,11,0.05,0.175992841303747,0.011997587653382533,0.2166904961819089,0.030732212966225882,,Extinct,Rare,Moderate,Complex
43,2,0.2453402553620733,3,0.9704514162452408,1.4856180617621382,20,0.10557829138693574,1.7240830074073346,0.08329709325808148,1.8798196273976413,0.1677973950054832,0.017290114212798278,0.020005724018948852,0.025109321013422836,300,200,800,0.0,0.0,0,True,299,810109,88,0.5,0,0.506724038576138,0.493275961423862,0.5,0.5,0.0,14,0.5,0.1565835108117133,0.005278914569346787,0.10304161284645258,0.012554660506711418,,Extinct,Frequent,Moderate,Complex
44,2,0.0,1,0.8546526981800739,1.2587455151209674,0,0.06314443343257185,1.9829823964789628,0.16105273829991665,1.6676786065136298,0.2602734567409989,0.10726166035465433,0.024897631625312836,0.00989849362361115,300,200,800,0.0,0.0,0,True,300,984327,140,0.5,0,1.0,0.0,0.5,0.5,0.0,0,0.5,0.2685842061832093,0.06314443343257185,0.41211140658646433,0.004949246811805575,,Extinct,Frequent,Fast,Simple
45,10,0.10492983414833744,2,0.8853976533808009,1.3211501697550323,15,0.09437263813017148,2.0859237765633507,0.1284838063361865,1.717122911850483,0.3618649061321152,0.06407642002825596,0.028964831817733273,0.04217692663585907,300,200,800,0.0,0.0,0,True,299,612148,71,0.5,0,0.5521362701411141,0.4478637298588859,0.5,0.5,0.0,19,0.1,0.2206224876616261,0.006291509208678099,0.17707276650049608,0.021088463317929535,,Extinct,Rare,Fast,Moderate
46,10,0.5221882856267609,2,1.054924812284999,1.1748968281231418,10,0.08588756036313423,1.906369067654735,0.12729608442860457,1.630108320639148,0.2662464852701329,0.027734604924669976,0.038245850703273174,0.08991195045744402,300,200,800,0.0,0.0,0,True,300,1215235,153,0.5,0,0.7675313852787249,0.2324686147212751,0.5,0.5,0.0,29,0.1,0.2075064064118518,0.008588756036313424,0.1041689053529872,0.04495597522872201,,Extinct,Rare,Fast,Moderate
47,10,0.43706464725938804,3,0.8246937710921793,1.410912095623504,10,0.15693407143351118,1.7246887847876968,0.19114540242655875,1.7769048013253301,0.18304882185989008,0.09148146047468339,0.029121619870770103,0.08297397862296194,300,200,800,0.0,0.0,0,True,300,938192,117,0.5,0,0.6238624101148811,0.3761375898851189,0.5,0.5,0.0,29,0.1,0.33964718332301463,0.01569340714335112,0.4997653606571993,0.04148698931148097,,Extinct,Rare,Fast,Complex
48,10,0.08074732280088687,2,0.9372752144727643,1.1008019764164874,25,0.2635689165277039,1.701858862290364,0.19321505462506322,1.2105942779182277,0.25149005016737874,0.038503683900014844,0.029063499184840868,0.007962796678396656,300,200,800,0.0,1.0,1,False,300,943057,121,0.11900626476989655,0,0.559967162990112,0.4400328370098881,0.10617092951916973,0.13184160002062337,-0.025670670501453635,12,0.1,0.23390503953675934,0.010542756661108156,0.15310221567170865,0.0009476226898181252,,Survived,Rare,Fast,Moderate
49,5,0.1526290234008581,3,0.8447566706491435,1.4240320633290815,20,0.15237300689401873,2.027182791598788,0.18282704929250498,1.5627058455898044,0.2736915917586821,0.043481740316125665,0.04554207924942437,0.09464135069912569,300,200,800,0.0,0.0,0,True,299,868341,69,0.5,0,0.4330474676419641,0.5669525323580359,0.5,0.5,0.0,14,0.2,0.28570489866133286,0.0076186503447009364,0.15887130487539478,0.047320675349562843,,Extinct,Occasional,Fast,Complex
50,10,0.5185072672646982,3,1.1126567462047257,1.2434442859949693,10,0.05290926458319013,1.975278476376539,0.17496124427164067,1.2795756210169154,0.27467603615468106,0.023527357709452627,0.03240153688314593,0.0051609156732661645,300,200,800,0.0,0.0,0,True,300,904147,103,0.5,0,0.6827452000211569,0.3172547999788431,0.5,0.5,0.0,29,0.1,0.22387614279277684,0.005290926458319013,0.08565493385889489,0.0025804578366330822,,Extinct,Rare,Fast,Complex
