run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
30,10,0.32168277105062226,2,0.8439841270363424,1.3076798208587754,15,0.11703999273438583,2.0652186513543667,0.17399616884952324,1.8843182327078092,0.12145935717211549,0.08452973416439515,0.024544387975141566,0.010721884702304375,300,200,800,0.383879781420765,0.016122993985075,0.383879781420765,0.6161202185792349,732,False,300,564770,4008,0.007046686053258038,0.18062333093330724,0,0.6600475453615194,0.33995245463848056,0.14503517873888286,0.21621148312773164,-0.07117630438884878,20,0.1,0.3278641533844632,0.007802666182292388,0.6959507783711653,0.0019366225288130875,8,0.6522443590171845,0.15,0.15,Medium_Coop,Survived,Rare,Fast,Moderate
31,10,0.07193033327199157,3,1.087066935301587,1.4481186047853059,10,0.15843737981478645,2.0574616864759574,0.052355119108688924,1.8971043041808198,0.31638459641034655,0.05171057040504851,0.04525205913733432,0.08373594341835039,300,200,800,0.2915082382762991,0.040144514048254046,0.2915082382762991,0.7084917617237009,789,False,300,648118,6680,0.0102016194307252,0.4569318915972105,0,0.3880739729992351,0.6119260270007649,0.3675825706249837,0.5462812125694373,-0.17869864194445362,30,0.1,0.09932312180699324,0.015843737981478645,0.16344212389524995,0.03826162302082383,7,0.6906102230062784,0.15,0.15,Low_Coop,Survived,Rare,Slow,Complex
32,2,0.48518766121204715,3,0.8403481449930075,1.4807139082256677,10,0.16034541178628947,2.447947962763523,0.1894549477555581,1.2586198920367402,0.18158448768492716,0.04177647523000705,0.04109638305397238,0.04386287089571964,300,200,800,0.23492462311557788,0.009184455877940638,0.23492462311557788,0.7650753768844221,796,False,300,668574,4872,0.007234433050311384,0.21572989478740753,0,0.653666003622665,0.34633399637733503,0.1262504288143823,0.30520936076043276,-0.17895893194605045,30,0.5,0.23845176588992678,0.016034541178628948,0.23006632208856242,0.009462532523407239,29,0.46925618349514,0.15,0.15,Low_Coop,Survived,Frequent,Fast,Complex
33,5,0.18691344571281698,2,1.1601266486958923,1.3767815710275506,25,0.1548903768906431,2.2127231345292593,0.1459756487697617,1.6452516824063992,0.1137144632988514,0.07075530595138589,0.040718041019206216,0.058856326155862164,300,200,800,0.06508135168961202,0.014090595690192945,0.06508135168961202,0.934918648310388,799,False,300,666404,5479,0.008154693599927368,0.14859967396881657,0,0.5938707276766659,0.406129272323334,0.11233259953570272,0.18486674840193043,-0.07253414886622771,12,0.2,0.24016668172881608,0.006195615075625724,0.622219055507784,0.008746030877763449,13,0.5755779280574539,0.15,0.15,Collapse,Survived,Occasional,Fast,Moderate
34,5,0.569390700252332,3,0.9785276028319543,1.1810118733910469,10,0.21743412179135624,1.5516524295140435,0.19623341703131353,1.4026177280057044,0.23182082203266757,0.10439540951774796,0.026456796258505902,0.06708816191742643,300,200,800,0.07858048162230671,0.12921191778336488,0.07858048162230671,0.9214195183776933,789,False,300,454538,3277,0.007157913130849797,0.34733181504403254,0,0.7145648116948757,0.28543518830512427,0.4053617814364234,0.28930184865164177,0.1160599327847816,30,0.2,0.2752404695552569,0.021743412179135623,0.4503280102381694,0.023301853046747666,14,0.4743439920184433,0.15,0.15,Collapse,Survived,Occasional,Fast,Complex
35,20,0.4762011498023217,3,0.8445383908788267,1.3634807964908437,25,0.14220797865183255,1.7477613995474015,0.08162421762038638,1.6614187777964962,0.189162833592657,0.07232204716396277,0.023175947128567704,0.008435600510561502,300,200,800,0.6825806451612904,0.1850268305348797,0.6825806451612904,0.3174193548387097,775,False,300,371400,2608,0.006973112874590918,0.38974218455267107,0,0.646754370780682,0.35324562921931796,0.37480121056810634,0.40468315853723574,-0.029881947969129408,12,0.05,0.13561200787745756,0.005688319146073302,0.38232693912642995,0.0032877093709998673,5,0.5482124640986064,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Complex
36,10,0.0,1,1.0881831605000671,1.1612528257705714,0,0.11499252739546138,1.881671734726873,0.19750120671243532,1.982333773362944,0.11031192491970374,0.14330856383548027,0.026948839453122278,0.07611507471670752,300,200,800,0.9685138539042821,0.4061206396183211,0.9685138539042821,0.031486146095717885,794,False,300,249180,2678,0.01063297572441614,0.8320591901843016,0,1.0,0.0,0.8320591901843016,0.8320591901843016,0.0,0,0.1,0.39151331234599673,0.11499252739546138,1.299121232267453,0.06333224742960127,10,0.49974294690837046,0.15,0.15,High_Coop,Survived,Rare,Fast,Simple
37,20,0.3465304861650301,2,1.1416669976945155,1.1162133211322471,20,0.11840182138533752,2.0627366113711085,0.07118570026357393,1.3572834032645775,0.16092263913842667,0.08592658934551982,0.023111917325763797,0.05620758215683683,300,200,800,0.8823529411764706,0.1814199785969962,0.8823529411764706,0.11764705882352941,714,False,300,335575,1421,0.004216667260145521,0.4561109709217064,0,0.6710542824458468,0.3289457175541533,0.48504388070937715,0.4271780611340356,0.05786581957534154,15,0.05,0.09661916951751576,0.005920091069266876,0.5339620938704915,0.025636894870716423,4,0.8541780559641594,0.15,0.15,High_Coop,Survived,Rare,Slow,Moderate
38,20,0.6340884603348649,3,0.9711697781848562,1.25760550543047,20,0.13449521256436714,1.9157667464871673,0.07818480577149753,1.295570501451154,0.2853491548069961,0.011444719290445072,0.048863192976496286,0.03360730168984536,300,200,800,0.806861499364676,0.3999550858919235,0.806861499364676,0.193138500635324,787,False,300,340371,2625,0.0076531504740580064,0.5835405078548466,0,0.7536032217041119,0.24639677829588807,0.607627399328596,0.5594536163810973,0.048173782947498744,15,0.05,0.10129392801924014,0.006724760628218357,0.040107773573697915,0.019611221895723403,6,0.4197822569538958,0.15,0.15,High_Coop,Survived,Rare,Moderate,Complex
39,20,0.6248830022162974,3,0.9055609796742591,1.3246445238521163,15,0.15506377514708208,1.9568672648619911,0.11064817365423808,1.4894340046773795,0.2547669091867487,0.01691569010640279,0.042300195391577866,0.0957013406769492,300,200,800,0.944233206590621,0.35563270635410577,0.944233206590621,0.05576679340937896,789,False,300,352680,3498,0.009820932230513956,0.587747168144009,0,0.7492365348790201,0.25076346512097986,0.6515746921141563,0.5239196441738615,0.1276550479402948,20,0.05,0.16480315239606994,0.010337585009805472,0.06639673166503458,0.05624819197046194,5,0.5984174017626124,0.15,0.15,High_Coop,Survived,Rare,Moderate,Complex
